additional_characteristics,cost_feature,curve_characteristics,curve_id,curve_type,damage_states,derivation_methodology,exposed_element,geographical_application,hazard_type,intensity_metric,original_id,readily_available,sector,source,source_details,uncertainty_range,hazard_name,sheet_name,intensity_axis,intensity_unit
Anchored/seismic components,Yes,RC ,E1.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Small power plants,USA,E,Peak Ground Acceleration,EPPS,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored/standard components,Yes,RC ,E1.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Small power plants,USA,E,Peak Ground Acceleration,EPPS,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored/seismic components,Yes,RC ,E1.3,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Medium/large power plants,USA,E,Peak Ground Acceleration,EPP3,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored/standard components,Yes,RC ,E1.4,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Medium/large power plants,USA,E,Peak Ground Acceleration,EPP4,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E12.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Central offices and broadcasting stations,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Telecommunication,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E12.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Central offices and broadcasting stations,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Telecommunication,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
"On-ground concrete tank, anchored",Yes,RC,E13.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Water storage tanks,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
"On-ground concrete tank, unanchored",Yes,RC,E13.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Water storage tanks,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
"On-ground steel tank, anchored",Yes,RC,E13.3,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Water storage tanks,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
"On-ground steel tank, unanchored",Yes,RC,E13.4,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Water storage tanks,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Above-ground steel tank,Yes,RC,E13.5,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Water storage tanks,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
On-ground wood tank,Yes,RC,E13.6,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Water storage tanks,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E14.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Small water treatment plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E14.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Small water treatment plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E14.3,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Medium water treatment plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E14.4,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Medium water treatment plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E14.5,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Large water treatment plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
